uniq_id,rank,iteration,distribution,mean,std,iterations,sleep_start,barrier_start,barrier_end,expected_sleep_nsec,actual_sleep_nsec
7d1bea60e09b7,7,9,gaussian,100000.000000,10000.000000,1000,1691535880,1797788545,1799874766,106247863,106252665
7d1bea60e09b7,1,9,gaussian,100000.000000,10000.000000,1000,1691422926,1796036127,1799761343,104604997,104613201
7d1bea60e09b7,5,9,gaussian,100000.000000,10000.000000,1000,1691645458,1797112172,1799984850,105459814,105466714
7d1bea60e09b7,0,9,gaussian,100000.000000,10000.000000,1000,1691959294,1785224231,1800290608,93258785,93264937
7d1bea60e09b7,4,9,gaussian,100000.000000,10000.000000,1000,1691060530,1794211986,1799390898,103147143,103151456
7d1bea60e09b7,3,9,gaussian,100000.000000,10000.000000,1000,1691788918,1800114274,1800124198,108318974,108325356
7d1bea60e09b7,13,10,gaussian,100000.000000,10000.000000,1000,1801434152,1919805647,1919811607,118368205,118371495
7d1bea60e09b7,8,10,gaussian,100000.000000,10000.000000,1000,1801782011,1896891109,1920167111,95099761,95109098
7d1bea60e09b7,10,10,gaussian,100000.000000,10000.000000,1000,1801784390,1892823417,1920170091,91027676,91039027
7d1bea60e09b7,9,10,gaussian,100000.000000,10000.000000,1000,1801404979,1891370234,1919783463,89958838,89965255
7d1bea60e09b7,15,10,gaussian,100000.000000,10000.000000,1000,1801734374,1909102593,1920112877,107359498,107368219
7d1bea60e09b7,14,10,gaussian,100000.000000,10000.000000,1000,1801786967,1902348937,1920171362,100551058,100561970
7d1bea60e09b7,12,10,gaussian,100000.000000,10000.000000,1000,1801741642,1912942877,1920127354,111185981,111201235
7d1bea60e09b7,11,10,gaussian,100000.000000,10000.000000,1000,1801406380,1895925374,1919788744,94510657,94518994
7d1bea60e09b7,2,10,gaussian,100000.000000,10000.000000,1000,1798840404,1896757565,1917233091,97914391,97917161
7d1bea60e09b7,6,10,gaussian,100000.000000,10000.000000,1000,1797594617,1909412830,1915986994,111815079,111818213
7d1bea60e09b7,7,10,gaussian,100000.000000,10000.000000,1000,1799875487,1895950681,1918262616,96070842,96075194
7d1bea60e09b7,1,10,gaussian,100000.000000,10000.000000,1000,1799762121,1898917023,1918149093,99147081,99154902
7d1bea60e09b7,5,10,gaussian,100000.000000,10000.000000,1000,1799985450,1912523674,1918370341,112530796,112538224
7d1bea60e09b7,0,10,gaussian,100000.000000,10000.000000,1000,1800291288,1909150883,1918683530,108852462,108859595
7d1bea60e09b7,4,10,gaussian,100000.000000,10000.000000,1000,1799391655,1906411156,1917781973,107015011,107019501
7d1bea60e09b7,3,10,gaussian,100000.000000,10000.000000,1000,1800124859,1896969424,1918511982,96838805,96844565
7d1bea60e09b7,13,11,gaussian,100000.000000,10000.000000,1000,1919812352,2036144821,2036148608,116329257,116332469
7d1bea60e09b7,8,11,gaussian,100000.000000,10000.000000,1000,1920168077,2027121090,2036503182,106942549,106953013
7d1bea60e09b7,10,11,gaussian,100000.000000,10000.000000,1000,1920170705,2027281433,2036507201,107097478,107110728
7d1bea60e09b7,9,11,gaussian,100000.000000,10000.000000,1000,1919784270,2032013760,2036119915,112221592,112229490
7d1bea60e09b7,15,11,gaussian,100000.000000,10000.000000,1000,1920113799,2025234194,2036449184,105111686,105120395
7d1bea60e09b7,14,11,gaussian,100000.000000,10000.000000,1000,1920172186,2008991191,2036508576,88809218,88819005
7d1bea60e09b7,12,11,gaussian,100000.000000,10000.000000,1000,1920130718,2017992706,2036466579,97848420,97861988
7d1bea60e09b7,11,11,gaussian,100000.000000,10000.000000,1000,1919789514,2024340128,2036126703,104541367,104550614
7d1bea60e09b7,2,11,gaussian,100000.000000,10000.000000,1000,1917233828,2010436251,2033573463,93199764,93202423
7d1bea60e09b7,6,11,gaussian,100000.000000,10000.000000,1000,1915987907,1997662032,2032324600,81671689,81674125
7d1bea60e09b7,7,11,gaussian,100000.000000,10000.000000,1000,1918263383,2013314169,2034600162,95046439,95050786
7d1bea60e09b7,1,11,gaussian,100000.000000,10000.000000,1000,1918149858,2013479179,2034484570,95321860,95329321
7d1bea60e09b7,5,11,gaussian,100000.000000,10000.000000,1000,1918371028,2028936528,2034709682,110557987,110565500
7d1bea60e09b7,0,11,gaussian,100000.000000,10000.000000,1000,1918684232,2022548823,2035019853,103857737,103864591
7d1bea60e09b7,4,11,gaussian,100000.000000,10000.000000,1000,1917782709,2014030364,2034120350,96243574,96247655
7d1bea60e09b7,3,11,gaussian,100000.000000,10000.000000,1000,1918512767,2007482785,2034853628,88964674,88970018
7d1bea60e09b7,13,12,gaussian,100000.000000,10000.000000,1000,2036149363,2130907871,2156020449,94755789,94758508
7d1bea60e09b7,8,12,gaussian,100000.000000,10000.000000,1000,2036504115,2144429482,2156374307,107914897,107925367
7d1bea60e09b7,10,12,gaussian,100000.000000,10000.000000,1000,2036507821,2123913570,2156378250,87394803,87405749
7d1bea60e09b7,9,12,gaussian,100000.000000,10000.000000,1000,2036120631,2155987328,2155990922,119858245,119866697
7d1bea60e09b7,15,12,gaussian,100000.000000,10000.000000,1000,2036450194,2139789285,2156321880,103330554,103339091
